ADAMTS10	ADAM metallopeptidase with thrombospondin type 1 motif 10	ADAM-TS10																											
ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12																												
ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13	C9orf8	VWFCP	TTP	vWF-CP	FLJ42993	MGC118899	MGC118900	DKFZp434C2322																				
ADAMTS14	ADAM metallopeptidase with thrombospondin type 1 motif 14																												
ADAMTS15	ADAM metallopeptidase with thrombospondin type 1 motif 15																												
ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif 16	ADAMTS16s																											
ADAMTS17	ADAM metallopeptidase with thrombospondin type 1 motif 17	FLJ32769	FLJ16363																										
ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif 18	ADAMTS21																											
ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif 19																												
ADAMTS20	ADAM metallopeptidase with thrombospondin type 1 motif 20	GON-1																											
ADAMTSL1	ADAMTS like 1	C9orf94	ADAMTSR1	FLJ35283	punctin	punctin-1																							
ADAMTSL2	ADAMTS like 2	KIAA0605																											
ADAMTSL3	ADAMTS like 3	KIAA1233	punctin-2																										
ADAMTSL4	ADAMTS like 4	TSRC1	DKFZP434K1772																										
ADAMTSL5	ADAMTS like 5	THSD6																											
ADAP1	ArfGAP with dual PH domains 1	CENTA1	GCS1L																										
ADAP2	ArfGAP with dual PH domains 2	CENTA2																											
ADAR	adenosine deaminase RNA specific	IFI4	G1P1	ADAR1																									
ADARB1	adenosine deaminase RNA specific B1	ADAR2	DRADA2	ADAR2g	DRABA2	RED1	hRED1	ADAR2a-L1	ADAR2a-L2	ADAR2a-L3	ADAR2a	ADAR2b	ADAR2c	ADAR2d	RED1 homolog (rat)														
ADARB2	adenosine deaminase RNA specific B2 (inactive)	RED2	hRED2	ADAR3	RED2 homolog (rat)																								
ADAT1	adenosine deaminase tRNA specific 1																												
ADAT2	adenosine deaminase tRNA specific 2	DEADC1	dJ20N2.1	TAD2	tRNA-specific adenosine deaminase 2 homolog (S. cerevisiae)																								
ADAT3	adenosine deaminase tRNA specific 3	TAD3	tRNA-specific adenosine deaminase 3 homolog (S. cerevisiae)																										
ADCK1	aarF domain containing kinase 1	FLJ39600																											
ADCK2	aarF domain containing kinase 2	MGC20727																											
ADCK5	aarF domain containing kinase 5	FLJ35454																											
ADCY1	adenylate cyclase 1	DFNB44	AC1	adenylyl cyclase subtype 1																									
ADCY2	adenylate cyclase 2	HBAC2	KIAA1060	AC2																									
ADCY3	adenylate cyclase 3	AC3																											
ADCY4	adenylate cyclase 4	AC4																											
ADCY5	adenylate cyclase 5	AC5																											
ADCY6	adenylate cyclase 6	AC6																											
ADCY7	adenylate cyclase 7	KIAA0037	AC7																										
ADCY8	adenylate cyclase 8	ADCY3	HBAC1	AC8																									
ADCY9	adenylate cyclase 9	AC9																											
